p1_good	p2_good	p3_good	p4_good	p5_good	p6_good	p7_good	p8_good	p1_poor	p2_poor	p3_poor	p4_poor	p5_poor	p6_poor	p7_poor	p8_poor
1007_s_at	1291.7	932.1	1172.9	1212.5	1279.9	1351.3	2241.8	1411.4	1405	1070.6	1563.5	1474.6	1212.2	1418	1516.1	2279.2
1053_at	231.9	258.7	236.3	365.8	243	260.9	191.9	195.9	215	83.9	278.3	525.8	276.1	280	294.5	237.6
117_at	169.4	348.2	363.3	205.8	255.2	243.2	234.5	122.4	421.8	253.8	768.5	141	253.8	147.6	611	893.3
121_at	1589.4	1985.2	2050.3	1782.1	1520.9	2153.3	2398.9	1537.4	2955.5	4594.6	1558.7	3220.6	2044.5	1539	3532.5	3670.9
1255_g_at	128.2	130.9	60.1	75.1	50	26.9	113.6	64.7	102.1	171.3	57.5	211.1	101.6	88.8	195.6	206.9
1294_at	717.3	1589.3	946.2	1017.3	977.3	1283.5	1013.6	1046.4	1312.5	1621.8	866.6	1106	918.8	609.9	1875.5	1888.3
1316_at	410.7	252.9	541	239.2	259.1	449	440.2	306.4	398.6	644.9	334.2	405	376.4	226.2	587.3	565.6
1320_at	14.8	25.4	26.1	11.4	20.6	20.3	42.5	15.1	70	189.9	80.3	234.2	20	18	44.4	55.2
1405_i_at	7.9	7.7	10.2	6	26.1	13.9	10.1	38.2	17.8	48.7	3.5	17.9	43.7	2.2	21.6	27.4
1431_at	87.6	170	257.5	110.7	163.9	152.2	200.3	146.4	261.7	311	111	268	180.7	120.8	279.8	338.8
1438_at	44.9	37.3	103	29.4	44.2	63.7	111.3	39.6	55.6	125.3	35.1	88.8	38.5	38.2	280.2	286.7
1487_at	555.7	831.5	459.3	444	548.1	628.7	408.4	491	884.8	978.9	610.3	821.5	502	403.3	863.1	1339.9
1494_f_at	291.3	588.6	375.8	319.6	290.2	436.8	245.2	303.8	793.6	1346.2	215.7	994.9	407.8	284.9	953.2	720.3
1598_g_at	585.9	1311.9	999.7	679	889.2	954.5	565.5	722.6	1304.1	1982.2	992.6	1231.8	752.3	892	1653	1764.4
160020_at	520.9	880.3	749.9	746.2	541.3	1070.4	868	642.1	1340.5	1959.2	496.4	1260.6	786.2	669.5	1346.3	1095.2
1729_at	414.7	1140.7	999.8	919.6	1055.5	1391.8	891.7	1098.9	638.4	920	1312.8	1096.8	903.3	1056.1	1099.2	1671.8
1773_at	92.7	196.5	33.9	281	191.1	43.1	227.7	47	66.7	506.4	59.3	371.5	198.7	249	309.2	398.1
177_at	115.9	103.5	97.6	20.5	81.4	35.7	138.1	119.4	305.7	93.9	269	228.5	261.5	213.4	170.3	117.9
179_at	957.5	1352.5	930.6	1066	935	1524.6	1077.1	1076.3	2004.2	2175.8	659	2359.7	1103.7	602.3	1722.7	2395
1861_at	144.8	362.1	163.2	257.3	221.8	193.8	161.2	214.2	227.7	473.2	289.6	485.9	233.6	185.3	442.7	414.3
200000_s_at	4162.3	3252.7	3210.4	4022.5	4706.3	4272.3	3505.4	4882.4	5326.4	4536.5	3142.4	4803.3	3044.5	4588.3	5794.4	4413.2
200001_at	3126.9	2824.3	2028.6	3685.4	2717.6	3291.1	2764	2672	6362.6	5451.6	5274.6	7373.8	4504.7	3748.2	5905.5	5888.7
200002_at	48035.7	42773.1	32314.9	46016.1	41273.3	39848.8	39237.4	44563.8	59792	37111.5	35948.3	62920.6	30833.1	38104.8	33645.1	42313.9
200003_s_at	59435.2	60561.2	42133.2	48856.7	67859.8	57372.9	66943	82537.5	63073.8	50748.6	58949.5	66734.3	41525.3	56094.6	47195	44855.6
200004_at	28492.8	30496.9	21298.4	22780.3	23267.7	24424.8	23266.5	22776.4	30942.2	27090.2	24002.6	25117.3	21174.5	18550.1	21198.2	22252.3
200005_at	11551.9	11118.5	5380.6	13728.4	13725.4	9582.3	8643.9	9176.5	14270.2	9405.5	9845.3	14155.7	8154.8	16062.1	9375.8	7111.7
200006_at	13452.3	16286.2	15972.1	19914.7	16637	20223.6	18860.8	14949.6	10694.3	6844.1	15885.5	15620.2	15974	15166	9522.3	11119.2
200007_at	21243.8	16450.9	17467.6	22323.3	18237.5	17023.4	20672.7	18221.9	21666.7	15541.8	16775.3	18415.2	15692.2	18996.2	11589.3	12768
200008_s_at	4764.9	7403.6	6296.5	12195.5	9885.5	9271.5	8969.9	11163.3	3767.3	4877	14311.6	8207.6	9403.4	8682	8163.5	7905.9
200009_at	11592.9	20184.7	17465.3	20665	25867.9	24571.4	19508.5	29027.3	6892.8	8100.4	29242.8	19017.6	17509.7	20961.2	12417.9	14687.3
